concept,feature
Tyrannosaurus Rex,need-Water
zebra,need-Water
leopard,need-Water
Persian cat,need-Water
Timber wolf,need-Water
Carp,need-Water
Viper,need-Water
Turbot,need-Water
goose,need-Water
moth,need-Water
African elephant,need-Water
Viper,need-Water
dove,need-Water
Cock,need-Water
Dog,need-Water
Siberian Husky,need-Water
Seagull,need-Water
Sea snake,need-Water
Otarriinae,need-Water
Jellyfish,need-Water
panther,need-Water
black swan,need-Water
Monkey,need-Water
monkey,need-Water
fox,need-Water
Raccoons,need-Water
cattle,need-Water
Crucian carp,need-Water
Rat,need-Water
leopard,need-Water
whale,need-Water
Koala,need-Water
Guppy,need-Water
Dinosaur,need-Water
The Dachshund,need-Water
wolf,need-Water
tiger,need-Water
mouse,need-Water
carp,need-Water
Cheetah,need-Water
hound,need-Water
Totoro,need-Water
mule,need-Water
Snail,need-Water
Leech,need-Water
Python,need-Water
Yak,need-Water
Elk,need-Water
The sperm whale,need-Water
Hen,need-Water
Ewes,need-Water
Oysters,need-Water
cattle,need-Water
penguin,need-Water
Squab,need-Water
snake,need-Water
Oysters,need-Water
lion,need-Water
rat,need-Water
Jellyfish,need-Water
Leech,need-Water
Chow Chow,need-Water
Swan,need-Water
Vulture,need-Water
rabbit,need-Water
Rabbit,need-Water
ostrich,need-Water
snail,need-Water
lizard,need-Water
cricket,need-Water
chimpanzee,need-Water
panda,need-Water
duck,need-Water
mole,need-Water
swallow,need-Water
Alpaca,need-Water
pheasant,need-Water
hare,need-Water
Bungarus multicinctus,need-Water
fish,need-Water
grasshopper,need-Water
Robins,need-Water
spider,need-Water
moth,need-Water
Carp,is-Food
Turbot,is-Food
goose,is-Food
dove,is-Food
Cock,is-Food
Dog,is-Food
Sea snake,is-Food
Jellyfish,is-Food
cattle,is-Food
Crucian carp,is-Food
Guppy,is-Food
carp,is-Food
mule,is-Food
Snail,is-Food
Yak,is-Food
Hen,is-Food
Ewes,is-Food
Oysters,is-Food
cattle,is-Food
Squab,is-Food
Oysters,is-Food
rabbit,is-Food
Rabbit,is-Food
snail,is-Food
duck,is-Food
Alpaca,is-Food
pheasant,is-Food
hare,is-Food
fish,is-Food
grasshopper,is-Food
Tyrannosaurus Rex,need-Air
zebra,need-Air
leopard,need-Air
Persian cat,need-Air
Timber wolf,need-Air
Carp,need-Air
Turbot,need-Air
goose,need-Air
moth,need-Air
African elephant,need-Air
dove,need-Air
Cock,need-Air
Dog,need-Air
Seagull,need-Air
Sea snake,need-Air
Otarriinae,need-Air
panther,need-Air
black swan,need-Air
Monkey,need-Air
fox,need-Air
Raccoons,need-Air
Crucian carp,need-Air
leopard,need-Air
Koala,need-Air
Dinosaur,need-Air
The Dachshund,need-Air
wolf,need-Air
tiger,need-Air
Cheetah,need-Air
hound,need-Air
Totoro,need-Air
mule,need-Air
Leech,need-Air
Python,need-Air
Yak,need-Air
Elk,need-Air
Hen,need-Air
Ewes,need-Air
penguin,need-Air
Squab,need-Air
snake,need-Air
lion,need-Air
rat,need-Air
Leech,need-Air
Chow Chow,need-Air
Vulture,need-Air
Rabbit,need-Air
ostrich,need-Air
snail,need-Air
lizard,need-Air
cricket,need-Air
chimpanzee,need-Air
panda,need-Air
duck,need-Air
mole,need-Air
swallow,need-Air
Alpaca,need-Air
pheasant,need-Air
hare,need-Air
grasshopper,need-Air
Robins,need-Air
spider,need-Air
Tyrannosaurus Rex,is-Animals
zebra,is-Animals
leopard,is-Animals
Persian cat,is-Animals
Timber wolf,is-Animals
Carp,is-Animals
Viper,is-Animals
Turbot,is-Animals
goose,is-Animals
moth,is-Animals
African elephant,is-Animals
Viper,is-Animals
dove,is-Animals
Cock,is-Animals
Dog,is-Animals
Siberian Husky,is-Animals
Seagull,is-Animals
Sea snake,is-Animals
Otarriinae,is-Animals
Jellyfish,is-Animals
panther,is-Animals
black swan,is-Animals
Monkey,is-Animals
monkey,is-Animals
fox,is-Animals
Raccoons,is-Animals
cattle,is-Animals
Crucian carp,is-Animals
Rat,is-Animals
leopard,is-Animals
whale,is-Animals
Koala,is-Animals
Guppy,is-Animals
Dinosaur,is-Animals
The Dachshund,is-Animals
wolf,is-Animals
tiger,is-Animals
mouse,is-Animals
carp,is-Animals
Cheetah,is-Animals
hound,is-Animals
Totoro,is-Animals
mule,is-Animals
Snail,is-Animals
Leech,is-Animals
Python,is-Animals
Yak,is-Animals
Elk,is-Animals
The sperm whale,is-Animals
Hen,is-Animals
Ewes,is-Animals
Oysters,is-Animals
cattle,is-Animals
penguin,is-Animals
Squab,is-Animals
snake,is-Animals
Oysters,is-Animals
lion,is-Animals
rat,is-Animals
Jellyfish,is-Animals
Leech,is-Animals
Chow Chow,is-Animals
Swan,is-Animals
Vulture,is-Animals
rabbit,is-Animals
Rabbit,is-Animals
ostrich,is-Animals
snail,is-Animals
lizard,is-Animals
cricket,is-Animals
chimpanzee,is-Animals
panda,is-Animals
duck,is-Animals
mole,is-Animals
swallow,is-Animals
Alpaca,is-Animals
pheasant,is-Animals
hare,is-Animals
Bungarus multicinctus,is-Animals
fish,is-Animals
grasshopper,is-Animals
Robins,is-Animals
spider,is-Animals
moth,is-Animals
Tyrannosaurus Rex,need-Food
zebra,need-Food
leopard,need-Food
Persian cat,need-Food
Timber wolf,need-Food
Carp,need-Food
Viper,need-Food
Turbot,need-Food
goose,need-Food
moth,need-Food
African elephant,need-Food
Viper,need-Food
dove,need-Food
Cock,need-Food
Dog,need-Food
Siberian Husky,need-Food
Seagull,need-Food
Sea snake,need-Food
Otarriinae,need-Food
Jellyfish,need-Food
panther,need-Food
black swan,need-Food
Monkey,need-Food
monkey,need-Food
fox,need-Food
Raccoons,need-Food
cattle,need-Food
Crucian carp,need-Food
Rat,need-Food
leopard,need-Food
whale,need-Food
Koala,need-Food
Guppy,need-Food
Dinosaur,need-Food
The Dachshund,need-Food
wolf,need-Food
tiger,need-Food
mouse,need-Food
carp,need-Food
Cheetah,need-Food
hound,need-Food
Totoro,need-Food
mule,need-Food
Snail,need-Food
Leech,need-Food
Python,need-Food
Yak,need-Food
Elk,need-Food
The sperm whale,need-Food
Hen,need-Food
Ewes,need-Food
Oysters,need-Food
cattle,need-Food
penguin,need-Food
Squab,need-Food
snake,need-Food
lion,need-Food
rat,need-Food
Jellyfish,need-Food
Chow Chow,need-Food
Swan,need-Food
Vulture,need-Food
rabbit,need-Food
Rabbit,need-Food
ostrich,need-Food
snail,need-Food
lizard,need-Food
cricket,need-Food
chimpanzee,need-Food
panda,need-Food
duck,need-Food
mole,need-Food
swallow,need-Food
Alpaca,need-Food
pheasant,need-Food
hare,need-Food
Bungarus multicinctus,need-Food
fish,need-Food
grasshopper,need-Food
Robins,need-Food
spider,need-Food
moth,need-Food
Tyrannosaurus Rex,need-Sunlight
zebra,need-Sunlight
lizard,need-Sunlight
cricket,need-Sunlight
Robins,need-Sunlight
mouse,is-tools
Oysters,can-Buy
zebra,has-Eyes
leopard,has-Eyes
Persian cat,has-Eyes
Timber wolf,has-Eyes
Carp,has-Eyes
Viper,has-Eyes
Turbot,has-Eyes
goose,has-Eyes
moth,has-Eyes
Viper,has-Eyes
Cock,has-Eyes
Dog,has-Eyes
Siberian Husky,has-Eyes
Seagull,has-Eyes
Sea snake,has-Eyes
Otarriinae,has-Eyes
panther,has-Eyes
black swan,has-Eyes
Monkey,has-Eyes
monkey,has-Eyes
fox,has-Eyes
Raccoons,has-Eyes
Crucian carp,has-Eyes
Rat,has-Eyes
whale,has-Eyes
Koala,has-Eyes
Guppy,has-Eyes
Dinosaur,has-Eyes
The Dachshund,has-Eyes
wolf,has-Eyes
tiger,has-Eyes
mouse,has-Eyes
carp,has-Eyes
Cheetah,has-Eyes
Totoro,has-Eyes
mule,has-Eyes
Python,has-Eyes
Yak,has-Eyes
Elk,has-Eyes
The sperm whale,has-Eyes
Hen,has-Eyes
Ewes,has-Eyes
cattle,has-Eyes
penguin,has-Eyes
snake,has-Eyes
lion,has-Eyes
rat,has-Eyes
Chow Chow,has-Eyes
Swan,has-Eyes
Vulture,has-Eyes
rabbit,has-Eyes
Rabbit,has-Eyes
ostrich,has-Eyes
lizard,has-Eyes
cricket,has-Eyes
chimpanzee,has-Eyes
panda,has-Eyes
mole,has-Eyes
swallow,has-Eyes
Alpaca,has-Eyes
pheasant,has-Eyes
hare,has-Eyes
Bungarus multicinctus,has-Eyes
fish,has-Eyes
grasshopper,has-Eyes
Robins,has-Eyes
spider,has-Eyes
Guppy,has-many colors
mouse,need-electricity
zebra,is-white
Persian cat,is-white
goose,is-white
dove,is-white
Seagull,is-white
Ewes,is-white
penguin,is-white
Swan,is-white
rabbit,is-white
Rabbit,is-white
panda,is-white
duck,is-white
Alpaca,is-white
Turbot,can-View
African elephant,can-View
black swan,can-View
Koala,can-View
Guppy,can-View
carp,can-View
Jellyfish,can-View
Swan,can-View
ostrich,can-View
lizard,is-Green
cricket,is-Green
fish,can-View
grasshopper,is-Green
leopard,has-Skin
wolf,has-Skin
tiger,has-Skin
mouse,has-Skin
Cheetah,has-Skin
Python,has-Skin
snake,has-skin
rabbit,has-Skin
lizard,has-Skin
Tyrannosaurus Rex,has-mouth
zebra,has-mouth
leopard,has-mouth
Timber wolf,has-mouth
Carp,has-mouth
Turbot,has-mouth
goose,has-mouth
African elephant,has-mouth
dove,has-mouth
Cock,has-mouth
Dog,has-mouth
Siberian Husky,has-mouth
Seagull,has-mouth
Sea snake,has-mouth
panther,has-mouth
black swan,has-mouth
Monkey,has-mouth
fox,has-mouth
Raccoons,has-mouth
whale,has-mouth
Koala,has-mouth
Dinosaur,has-mouth
The Dachshund,has-mouth
tiger,has-mouth
mouse,has-mouth
Cheetah,has-mouth
hound,has-mouth
mule,has-mouth
Leech,has-mouth
Python,has-mouth
Elk,has-mouth
Hen,has-mouth
Ewes,has-mouth
cattle,has-mouth
penguin,has-mouth
Squab,has-mouth
snake,has-mouth
lion,has-mouth
rat,has-mouth
Chow Chow,has-mouth
Swan,has-mouth
Vulture,has-mouth
ostrich,has-mouth
lizard,has-mouth
cricket,has-mouth
chimpanzee,has-mouth
panda,has-mouth
duck,has-mouth
mole,has-mouth
swallow,has-mouth
Alpaca,has-mouth
pheasant,has-mouth
hare,has-mouth
fish,has-mouth
Robins,has-mouth
Tyrannosaurus Rex,has-tail
zebra,has-tail
leopard,has-tail
Persian cat,has-tail
Timber wolf,has-tail
Carp,has-tail
Viper,has-tail
Turbot,has-tail
African elephant,has-tail
Viper,has-tail
Cock,has-tail
Dog,has-tail
Siberian Husky,has-tail
Sea snake,has-tail
Otarriinae,has-tail
panther,has-tail
Monkey,has-tail
monkey,has-tail
fox,has-tail
Raccoons,has-tail
cattle,has-tail
Crucian carp,has-tail
Rat,has-tail
leopard,has-tail
whale,has-tail
Guppy,has-tail
Dinosaur,has-tail
The Dachshund,has-tail
wolf,has-tail
tiger,has-tail
mouse,has-tail
carp,has-tail
Cheetah,has-tail
hound,has-tail
Totoro,has-tail
mule,has-tail
Python,has-tail
Yak,has-tail
The sperm whale,has-tail
cattle,has-tail
snake,has-tail
lion,has-tail
rat,has-tail
Chow Chow,has-tail
rabbit,has-tail
Rabbit,has-tail
lizard,has-tail
chimpanzee,has-tail
mole,has-tail
swallow,has-tail
Alpaca,has-tail
hare,has-tail
Bungarus multicinctus,has-tail
fish,has-tail
zebra,need-Protection
leopard,need-Protection
African elephant,need-Protection
Otarriinae,need-Protection
black swan,need-Protection
Monkey,need-Protection
monkey,need-Protection
Raccoons,need-Protection
whale,need-Protection
Koala,need-Protection
wolf,need-Protection
tiger,need-Protection
Cheetah,need-Protection
Totoro,need-Protection
Elk,need-Protection
The sperm whale,need-Protection
penguin,need-Protection
lion,need-Protection
Swan,need-Protection
lizard,need-Protection
panda,need-Protection
Robins,need-Protection
zebra,has-Hair
leopard,has-Hair
Persian cat,has-Hair
Timber wolf,has-Hair
Dog,has-Hair
Siberian Husky,has-Hair
Otarriinae,has-Hair
panther,has-Hair
Monkey,has-Hair
monkey,has-Hair
fox,has-Hair
Raccoons,has-Hair
Rat,has-Hair
leopard,has-Hair
Koala,has-Hair
The Dachshund,has-Hair
wolf,has-Hair
tiger,has-Hair
mouse,has-Hair
Cheetah,has-Hair
hound,has-Hair
Totoro,has-Hair
Yak,has-Hair
Ewes,has-Hair
penguin,has-Hair
lion,has-Hair
Chow Chow,has-Hair
rabbit,has-Hair
Rabbit,has-Hair
chimpanzee,has-Hair
panda,has-Hair
mole,has-Hair
Alpaca,has-Hair
hare,has-Hair
zebra,need-to sleep
Persian cat,need-to sleep
Timber wolf,need-to sleep
goose,need-to sleep
African elephant,need-to sleep
dove,need-to sleep
Cock,need-to sleep
Dog,need-to sleep
Siberian Husky,need-to sleep
Seagull,need-to sleep
panther,need-to sleep
Monkey,need-to sleep
fox,need-to sleep
Raccoons,need-to sleep
Rat,need-to sleep
whale,need-to sleep
Koala,need-to sleep
The Dachshund,need-to sleep
wolf,need-to sleep
tiger,need-to sleep
mouse,need-to sleep
Cheetah,need-to sleep
hound,need-to sleep
Totoro,need-to sleep
mule,need-to sleep
Python,need-to sleep
Yak,need-to sleep
Elk,need-to sleep
The sperm whale,need-to sleep
Hen,need-to sleep
Ewes,need-to sleep
cattle,need-to sleep
lion,need-to sleep
rat,need-to sleep
Chow Chow,need-to sleep
Swan,need-to sleep
Vulture,need-to sleep
rabbit,need-to sleep
Rabbit,need-to sleep
lizard,need-to sleep
chimpanzee,need-to sleep
duck,need-to sleep
mole,need-to sleep
swallow,need-to sleep
Alpaca,need-to sleep
pheasant,need-to sleep
hare,need-to sleep
Bungarus multicinctus,need-to sleep
grasshopper,need-to sleep
Tyrannosaurus Rex,has-limbs
zebra,has-limbs
leopard,has-limbs
Persian cat,has-limbs
Timber wolf,has-limbs
African elephant,has-limbs
Dog,has-limbs
Siberian Husky,has-limbs
panther,has-limbs
Monkey,has-limbs
fox,has-limbs
Raccoons,has-limbs
cattle,has-limbs
Rat,has-limbs
leopard,has-limbs
Koala,has-limbs
