concept,feature,________-number of participants mentioning this feature,________-number of participants rating this feature,_30_____________-normalized numer of participants mentioning this feature,COUNTIF feature,COUNTIF item
Tyrannosaurus Rex,need-Water,13,28,13.92857143,390,16
silver birch,need-Water,17,30,17,390,19
white-barked pine,need-Water,16,30,16,390,16
Cypress,need-Water,18,28,19.28571429,390,16
zebra,need-Water,14,28,15,390,25
leopard,need-Water,15,30,15,390,40
Persian cat,need-Water,10,29,10.34482759,390,18
Dionaea muscipula,need-Water,23,30,23,390,16
Daisy,need-Water,16,29,16.55172414,390,16
Scallion,need-Water,11,30,11,390,17
soybean,need-Water,8,30,8,390,26
Timber wolf,need-Water,11,30,11,390,24
garlic,need-Water,12,30,12,390,16
Jujube,need-Water,9,30,9,390,27
Carp,need-Water,10,29,10.34482759,390,32
Watermelon,need-Water,11,31,10.64516129,390,36
Viper,need-Water,6,30,6,390,27
Turbot,need-Water,19,30,19,390,16
goose,need-Water,12,30,12,390,17
moth,need-Water,8,29,8.275862069,390,19
tomato,need-Water,13,30,13,390,17
African elephant,need-Water,20,31,19.35483871,390,19
Viper,need-Water,9,29,9.310344828,390,27
Cabbage,need-Water,19,30,19,390,29
citrus,need-Water,9,29,9.310344828,390,17
olive,need-Water,16,31,15.48387097,390,27
Olive,need-Water,20,29,20.68965517,390,27
dove,need-Water,16,30,16,390,16
Cock,need-Water,18,30,18,390,20
Dog,need-Water,16,29,16.55172414,390,22
millet,need-Water,16,30,16,390,17
shrub,need-Water,23,30,23,390,17
Siberian Husky,need-Water,12,31,11.61290323,390,19
seaweed,need-Water,12,30,12,390,29
Seagull,need-Water,14,30,14,390,16
Sea snake,need-Water,13,30,13,390,18
Otarriinae,need-Water,13,30,13,390,16
Seaweed,need-Water,6,29,6.206896552,390,29
seaweed,need-Water,9,29,9.310344828,390,29
Jellyfish,need-Water,10,31,9.677419355,390,29
Lotus,need-Water,19,30,19,390,37
panther,need-Water,21,29,21.72413793,390,20
black swan,need-Water,16,30,16,390,17
Monkey,need-Water,12,29,12.4137931,390,29
monkey,need-Water,6,30,6,390,29
fox,need-Water,12,30,12,390,17
Cucurbit,need-Water,18,30,18,390,21
Cauliflower,need-Water,12,30,12,390,17
birch,need-Water,16,30,16,390,16
Raccoons,need-Water,16,30,16,390,20
cucumber,need-Water,13,30,13,390,21
cattle,need-Water,13,30,13,390,31
Crucian carp,need-Water,17,30,17,390,17
Rat,need-Water,11,30,11,390,21
leopard,need-Water,18,30,18,390,40
Honeysuckle,need-Water,14,30,14,390,20
whale,need-Water,14,33,12.72727273,390,18
Orange,need-Water,9,30,9,390,16
Chrysanthemum,need-Water,18,31,17.41935484,390,19
Cabbage,need-Water,19,30,19,390,29
Koala,need-Water,13,30,13,390,18
Guppy,need-Water,18,28,19.28571429,390,17
Dinosaur,need-Water,20,30,20,390,17
Sunflower,need-Water,11,29,11.37931034,390,30
The Dachshund,need-Water,20,29,20.68965517,390,19
Blueberry,need-Water,17,30,17,390,16
wolf,need-Water,17,29,17.5862069,390,22
tiger,need-Water,11,31,10.64516129,390,23
mouse,need-Water,11,30,11,390,25
carp,need-Water,16,30,16,390,32
litchi,need-Water,12,31,11.61290323,390,17
Lotus,need-Water,25,30,25,390,37
Cheetah,need-Water,15,30,15,390,25
hound,need-Water,19,30,19,390,21
Durian,need-Water,12,30,12,390,16
Totoro,need-Water,11,29,11.37931034,390,16
mule,need-Water,19,30,19,390,16
Snail,need-Water,11,30,11,390,20
Leech,need-Water,14,29,14.48275862,390,27
babysbreath,need-Water,18,29,18.62068966,390,16
Python,need-Water,18,47,11.4893617,390,30
Soybean,need-Water,11,29,11.37931034,390,26
Yak,need-Water,17,30,17,390,18
kiwifruit,need-Water,11,30,11,390,17
Elk,need-Water,21,30,21,390,19
honey peach,need-Water,8,30,8,390,28
The sperm whale,need-Water,10,30,10,390,19
Hen,need-Water,20,30,20,390,18
Ewes,need-Water,20,30,20,390,21
Oysters,need-Water,8,31,7.741935484,390,24
cattle,need-Water,17,31,16.4516129,390,31
Loquat,need-Water,15,30,15,390,19
Grape,need-Water,13,31,12.58064516,390,20
penguin,need-Water,15,31,14.51612903,390,17
Squab,need-Water,14,30,14,390,16
Mulberry,need-Water,13,30,13,390,17
Hawthorn,need-Water,14,31,13.5483871,390,17
snake,need-Water,18,31,17.41935484,390,19
Oysters,need-Water,6,30,6,390,24
lion,need-Water,14,30,14,390,23
